linenumber,datetime,athlete,distance,duration,gender,age_group,country,major
0,2020-01-01,0,0.0,0.0,F,18 - 34,United States,CHICAGO 2019
5,2020-01-01,5,60.18,289.6,F,35 - 54,United States,BOSTON 2015
26,2020-01-01,28,30.22,281.78333333333336,F,55 +,United States,CHICAGO 2019
