Vernier Format 2
untitled.txt 1/1/2021 22:0:11
Time    Light   Temp
0.00	1.0006	0.3	
0.05	1.0006	0.3	
0.10	1.0006	0.3	
0.15	1.0006	0.3	
0.20	1.0006	0.3	
0.25	1.0006	0.3	
0.30	1.0006	0.3	
0.35	1.0006	0.3	
0.40	1.0006	0.2	
0.45	1.0006	0.2	
0.50	1.0006	0.3	
0.55	1.0006	0.3	
0.60	1.0006	0.3	
0.65	1.0006	0.3	
0.70	0.9995	0.3	
0.75	0.9927	0.2	
0.80	0.8921	0.3	
0.85	0.7017	0.3	
0.90	0.6435	0.3	
0.95	0.6203	0.3	
1.00	0.6141	0.3	
1.05	0.5984	0.3	
1.10	0.6016	0.3	
1.15	0.6256	0.3	
1.20	0.6495	0.3	
1.25	0.6368	0.3	
1.30	0.6218	0.3	
1.35	0.5894	0.3	
1.40	0.5627	0.3	
1.45	0.5589	0.3	
1.50	0.5657	0.3	
1.55	0.5817	0.3	
1.60	0.5921	0.3	
1.65	0.6036	0.3	
1.70	0.6281	0.3	
1.75	0.6473	0.3	
1.80	0.6680	0.3	
1.85	0.6787	0.3	
1.90	0.6812	0.3	
1.95	0.6837	0.3	
2.00	0.6822	0.3	
2.05	0.6805	0.3	
2.10	0.6800	0.3	
2.15	0.6807	0.3	
2.20	0.6805	0.3	
2.25	0.6802	0.3	
2.30	0.6807	0.3	
2.35	0.6812	0.3	
2.40	0.6820	0.3	
2.45	0.6822	0.3	
2.50	0.6832	0.3	
2.55	0.6847	0.3	
2.60	0.6855	0.3	
2.65	0.6860	0.3	
2.70	0.6857	0.3	
2.75	0.6845	0.3	
2.80	0.6847	0.3	
2.85	0.6847	0.3	
2.90	0.6847	0.3	
2.95	0.6840	0.3	
3.00	0.6840	0.3	
3.05	0.6842	0.3	
3.10	0.6845	0.3	
3.15	0.6847	0.3	
3.20	0.6850	0.3	
3.25	0.6860	0.3	
3.30	0.6857	0.3	
3.35	0.6855	0.3	
3.40	0.6847	0.3	
3.45	0.6857	0.3	
3.50	0.6862	0.3	
3.55	0.6867	0.3	
3.60	0.6867	0.3	
3.65	0.6870	0.3	
3.70	0.6877	0.3	
3.75	0.6887	0.2	
3.80	0.6897	0.2	
3.85	0.6907	0.3	
3.90	0.6915	0.2	
3.95	0.6925	0.3	
4.00	0.6927	0.2	
4.05	0.6930	0.2	
4.10	0.6937	0.2	
4.15	0.6940	0.2	
4.20	0.6942	0.2	
4.25	0.6957	0.2	
4.30	0.6965	0.2	
4.35	0.6967	0.2	
4.40	0.6975	0.2	
4.45	0.6972	0.2	
4.50	0.6975	0.2	
4.55	0.6972	0.2	
4.60	0.6975	0.2	
4.65	0.6977	0.2	
4.70	0.6975	0.2	
4.75	0.6975	0.2	
4.80	0.6975	0.2	
4.85	0.6972	0.2	
4.90	0.6970	0.2	
4.95	0.6965	0.2	
5.00	0.6967	0.2	
5.05	0.6965	0.2	
5.10	0.6967	0.2	
5.15	0.6967	0.2	
